id,raw_id,name,lon,lat,x,y,adname
station:BV09356947,BV09356947,上海体育大学(地铁站),121.51876152675545,31.316775182693213,13527406.653104631,3673957.125334571,杨浦区
station:BV11639102,BV11639102,上海财经大学(地铁站),121.49188092671461,31.309647024320984,13524414.318396281,3673028.3336672923,杨浦区
station:BV11639108,BV11639108,丹阳路(地铁站),121.52683513064504,31.255912860312854,13528305.402578361,3666029.0876480923,杨浦区
station:BV10030403,BV10030403,五角场(地铁站),121.51024754617409,31.30007637269004,13526458.881121822,3671781.3981772424,杨浦区
station:BV11653224,BV11653224,共青森林公园(地铁站),121.54228344259607,31.316700917129776,13530025.100798128,3673947.448246047,杨浦区
station:BV10024697,BV10024697,同济大学(地铁站),121.50185603607522,31.283919136082854,13525524.742490757,3669676.6008550497,杨浦区
station:BV10854613,BV10854613,国帆路(地铁站),121.50877484726695,31.341561630356473,13526294.941029409,3677187.3212780184,杨浦区
station:BV10025272,BV10025272,国权路(地铁站),121.50562390265411,31.29129931378409,13525944.179479638,3670637.9691550606,杨浦区
station:BV10025457,BV10025457,复兴岛(地铁站),121.557068174421,31.28293010281529,13531670.929616163,3669547.771567865,杨浦区
station:BV11639104,BV11639104,复旦大学(地铁站),121.49509044457034,31.298338057396954,13524771.600289626,3671554.931156828,杨浦区
station:BV10025282,BV10025282,嫩江路(地铁站),121.52762653065324,31.31687896710988,13528393.500824274,3673970.6488559847,杨浦区
station:BV10039929,BV10039929,宁国路(地铁站),121.52802967381956,31.27066856716505,13528438.37851626,3667950.7232310353,杨浦区
station:BV10039907,BV10039907,市光路(地铁站),121.52760479790885,31.324795961649286,13528391.081546238,3675002.308604553,杨浦区
station:BV11639109,BV11639109,平凉路(地铁站),121.52236120801729,31.26112168833874,13527807.36778966,3666707.398968862,杨浦区
station:BV10039909,BV10039909,延吉中路(地铁站),121.53062507204663,31.29063587112371,13528727.296925263,3670551.5436665486,杨浦区
station:BV11639103,BV11639103,抚顺路(地铁站),121.51141385114622,31.285706543326864,13526588.71359741,3669909.4279993423,杨浦区
